STRUCTURE,STRUCTURE_ID,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2005,76.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2006,76.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2007,74.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2008,97.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2009,103.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2011,91.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2012,94.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2013,88.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2014,103.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2015,115.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AL,2016,123.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,1996,102.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,1997,101.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,1998,109.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,1999,104.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2000,103.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2001,97.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2002,94.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2003,98.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2004,97.8,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2005,96.7,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2006,97.3,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2007,99.1,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2008,98.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2009,101.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2010,100.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2011,102.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2012,104.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2013,103.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2014,102.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2015,100.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2016,101.0,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,AT,2017,103.3,p
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2000,63.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2001,83.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2002,83.4,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2003,88.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2004,86.2,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2005,87.9,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2006,91.5,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2007,95.6,
dataflow,ESTAT:STS_COLB_A(1.0),A,EMPL,F,NSA,I10,BE,2008,98.8,
